time,x-rotation,y-rotation,z-rotation
13.400,-0.602,-2.085,-0.854
13.440,-1.170,0.240,5.080
13.480,2.462,-14.642,-0.816
13.520,6.063,-12.309,-5.507
13.560,-1.040,-3.350,7.740
13.600,5.339,-12.687,-4.566
13.640,5.122,0.537,0.194
13.680,1.208,4.375,7.736
13.720,6.864,-5.553,-4.383
13.760,8.975,-3.441,-8.438
13.800,8.396,-6.658,-5.633
13.840,2.043,-4.722,2.329
13.880,-1.296,-0.591,5.945
13.920,0.709,0.930,2.012
13.960,4.562,-4.954,-5.998
14.000,2.603,-1.825,-3.891
14.040,-3.929,5.819,6.357
14.080,-5.396,2.188,6.452
14.120,-1.928,-0.434,-0.842
14.160,-3.479,-1.936,-6.723
14.200,-11.921,-1.860,-1.723
14.240,-14.783,-5.541,-3.784
14.280,-29.131,-9.436,-3.803
14.320,-24.284,-33.011,-20.598
14.360,-20.133,-46.829,-10.282
14.400,-17.447,-52.687,19.337
14.440,-4.017,-60.156,20.644
14.480,39.512,-54.512,-10.514
14.520,49.916,-30.492,33.011
14.560,49.032,-9.219,39.356
14.600,50.873,9.329,-1.517
14.640,28.411,29.486,10.385
14.680,18.445,46.090,-17.069
14.720,-19.264,53.579,-22.370
14.760,-39.737,52.847,-22.702
14.800,-48.620,39.912,-46.753
14.840,-68.064,24.539,-34.672
14.880,-73.849,0.964,-18.049
14.920,-73.018,-20.183,-8.034
14.960,-13.209,-41.319,-23.944
15.000,9.607,-54.992,-0.983
15.040,25.229,-70.857,18.864
15.080,30.385,-71.944,43.011
15.120,48.041,-51.551,60.423
15.160,65.179,-36.524,49.931
15.200,67.649,-18.773,46.623
15.240,50.301,3.498,45.118
15.280,41.921,22.100,24.436
15.320,26.871,42.988,-4.402
15.360,-17.241,56.349,3.655
15.400,-10.522,54.337,-41.098
15.440,-23.750,56.833,-56.684
15.480,-45.210,50.194,-52.961
15.520,-45.164,36.997,-57.656
15.560,-56.437,43.418,-31.315
15.600,-18.495,34.386,-63.708
15.640,-33.357,16.441,-32.588
15.680,7.618,-2.389,-37.813
15.720,-10.434,-24.276,6.357
15.760,2.816,-51.627,13.659
15.800,8.098,-66.079,37.580
15.840,24.657,-67.805,52.062
15.880,44.848,-62.477,52.317
15.920,47.462,-53.617,51.349
15.960,43.388,-32.035,55.831
16.000,43.891,-14.623,45.446
16.040,34.112,12.279,18.327
16.080,21.059,31.380,-10.404
16.120,-20.366,41.117,-17.119
16.160,-32.428,43.849,-33.830
16.200,-5.076,46.010,-71.688
16.240,-56.806,54.295,-34.154
16.280,-40.000,55.816,-41.120
16.320,-24.047,46.639,-43.537
16.360,-28.236,32.576,-23.155
16.400,6.143,13.609,-41.265
16.440,-24.299,1.128,-5.213
16.480,-14.093,-15.282,-11.753
16.520,-15.244,-29.512,3.262
16.560,-4.680,-37.820,9.390
16.600,5.011,-50.381,13.834
16.640,19.447,-50.602,16.216
16.680,27.462,-35.248,34.082
16.720,28.605,-21.322,37.127
16.760,30.922,-2.584,19.482
16.800,22.633,9.325,7.908
16.840,7.393,17.008,8.319
16.880,-8.998,32.805,13.350
16.920,-13.266,31.810,4.444
16.960,-7.233,33.251,-4.036
17.000,-2.862,26.277,-20.377
17.040,-6.707,23.418,-23.876
17.080,-23.281,18.716,-21.875
17.120,-31.662,12.020,-25.263
17.160,-26.216,1.361,-33.941
17.200,-26.795,-2.409,-22.976
17.240,0.438,-11.780,-20.572
17.280,15.050,-34.825,-9.943
17.320,14.836,-37.062,20.892
17.360,23.902,-48.601,27.470
17.400,37.614,-41.441,28.918
17.440,41.482,-22.180,42.306
17.480,35.187,-14.112,37.043
17.520,35.785,2.271,18.918
17.560,29.455,22.035,17.287
17.600,16.200,31.155,11.970
17.640,2.873,40.488,-3.800
17.680,-11.273,40.633,-20.598
17.720,-20.724,39.638,-37.767
17.760,-20.762,35.511,-36.235
17.800,-37.298,19.310,-19.120
17.840,-12.416,14.459,-35.297
17.880,-9.829,-0.793,-26.753
17.920,-8.422,-14.394,-21.669
17.960,-1.460,-11.589,-15.998
18.000,-1.833,-27.046,-17.923
18.040,-9.859,-31.113,-7.428
18.080,13.491,-29.333,1.467
18.120,33.937,-35.095,20.941
18.160,46.189,-18.300,44.360
18.200,65.099,5.076,53.670
18.240,49.306,4.059,28.403
18.280,30.419,19.405,29.535
18.320,18.175,32.904,21.753
18.360,1.753,33.095,-5.747
18.400,-14.947,36.475,-27.572
18.440,-24.863,27.172,-34.329
18.480,-48.239,16.178,-28.003
18.520,-52.287,9.531,-13.895
18.560,-44.036,-5.850,-12.649
18.600,-27.893,-11.071,-15.503
18.640,-10.206,-32.096,-10.069
18.680,-11.650,-29.973,23.396
18.720,29.204,-45.107,17.889
18.760,39.848,-39.825,30.640
18.800,46.071,-14.653,44.840
18.840,44.817,-11.582,35.846
18.880,21.437,2.450,35.911
18.920,20.438,14.676,9.531
18.960,10.335,26.947,-8.735
19.000,-10.210,33.582,-17.199
19.040,-15.385,41.616,-32.588
19.080,-15.404,44.878,-46.570
