timestamp,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro,squared norm,zero velocity,px,py,pz,vx,vy,vz,q0,q1,q2,q3,psi,theta,phi
633.0,0.24569155359478045,-0.008312175676070354,-0.11237175268672532,-69.90772935921063,-318.54348308406145,-323.00097114819533,210686.6686021637,False,-0.27773553468506273,-0.11538866212116775,-1.1653241177260447,-0.660414692823761,0.056220450868781545,-3.8344069474970435,0.5879128065408393,0.1603233885189805,-0.7093055861102316,0.35431698874297063,-1.9508867193935777,-0.8043919668350799,-1.6539952368884645
643.0,0.30252170412022106,0.03420275763580084,-0.10258115677399939,-30.53105033127916,67.08831816195284,-188.14128047264325,40830.128886016326,False,-0.28435241922614934,-0.11475190877469015,-1.204020440885586,-0.66296221646443,0.07113021936246539,-3.9048576847913834,0.5982238364506669,0.16850263574155375,-0.7041329181831919,0.3434121966110364,-1.9083096845264236,-0.8135443895874718,-1.6413026988063066
653.0,0.3058411864855663,0.006441752319011586,-0.051553138745862793,2.3147334389409835,229.81370683888431,141.53620188131762,72852.19428491112,False,-0.29099983664656626,-0.1139950055775191,-1.2434154419959633,-0.6665212681019497,0.08025042083227685,-3.9741425377143895,0.6079384291248643,0.153169231756473,-0.6939804250592447,0.3540356231665315,-1.8919140035203497,-0.8261682575182764,-1.5857582430707908
664.0,1.0321444787028031,-0.20044835097086097,-0.07679183915990022,17.350712461229776,-4.7919377999899595,345.39020935048205,119618.40660596106,False,-0.29835258507327356,-0.11303146624334216,-1.2871044177742943,-0.6703420823475387,0.09493854941091112,-3.9693076039534883,0.5953337864209937,0.13137612113986605,-0.6983752250805336,0.37495338714778953,-1.9576610727845671,-0.822740767454027,-1.585461751283948
674.0,-0.04650894730649957,-0.015208293169430422,-0.003683483295199696,2.320606150486242,-178.29632756184202,2.736396959096666,31802.453503263096,False,-0.3050441277382521,-0.11209195493069436,-1.327306452913039,-0.6679664475170323,0.0929637292026098,-4.071099426175953,0.5839931547893067,0.13672849215901828,-0.7076447136897479,0.3734919996172726,-1.989853666635936,-0.8101423857118959,-1.627269199786023
683.0,0.6253344726406944,-0.05236866820587313,-0.11614062652376628,1.0061188113553499,21.824304894255338,-149.3071970786819,22769.951658672337,False,-0.31107899084723284,-0.11117744098196312,-1.3641034590427024,-0.6731142434255001,0.11026159272440537,-4.106013047121119,0.5895567749901877,0.14453780449969955,-0.7049882046294175,0.36677413140373827,-1.9628437954494171,-0.811376655065928,-1.6228155075524833
693.0,1.4014266587896715,-0.0776148288682511,-0.08402648682369265,26.69137399034976,293.67331806666357,24.713797358878253,87567.21896967216,False,-0.31793684903689107,-0.10991553434782679,-1.404995123620145,-0.6984573952140126,0.14211973478850878,-4.072319868640617,0.6063591855666757,0.13510725612529886,-0.6891022317561352,0.37311215687769367,-1.9138858209263765,-0.8254699906759252,-1.550494061649917
703.0,0.39228714235314227,-0.10583306750170432,0.009027657843969451,28.0657262165316,-94.82284302739549,229.4690272065136,62435.09099496307,False,-0.32493542193306424,-0.10848166645604895,-1.4460103730676803,-0.7012571834049482,0.14465384400966697,-4.1307300208799935,0.5927590729710279,0.12592203591908646,-0.6957244787801077,0.3856783269859323,-1.9683365381192044,-0.8149090179599346,-1.5704724169119744
713.0,0.6460669410378588,-0.07558678560176135,-0.1017925373745092,-3.781490046773019,-157.30258215936317,-142.57326609953313,45085.53822726532,False,-0.3319723691480721,-0.10693638030644129,-1.4875016684483795,-0.7061322604553265,0.16440338594304849,-4.1675290553418405,0.5879797657615602,0.13979023423619089,-0.7023303892206061,0.3761256569876663,-1.970069703329618,-0.8048904785047082,-1.6077622370569506
724.0,1.788788159716432,-0.09076305767991535,-0.1096594683605777,27.054992628790103,199.1775368268088,-148.56151351881402,62474.18710153941,False,-0.33994460311499075,-0.10485826589608929,-1.5329282464597236,-0.7433648254747824,0.21343559728571646,-4.091848764848444,0.6063085726887603,0.1442921738562688,-0.6879144994455961,0.3719453248805065,-1.901695534236806,-0.8137086815842923,-1.5534589859233745
